units,amount,probability,type,stage,lead_source,lead_firstname,lead_lastname,lead,assignedTo,description,
21757,14691631.82,95.63,EXISTING,PROPOSAL OR PRICE QUOTE,NEW,Richy,Lockyear,Richy Lockyear,dghionj@lin.com,Stand-alone composite forecast,
18268,12335649.68,49.57,EXISTING,PROSPECTING,IN PROCESS,Pennie,Doughartie,Pennie Doughartie,iepslyk@lin.com,Universal solution-oriented secured line,
14374,9706187,63.46,EXISTING,VALUE PROPOSITION,CONVERTED,Ninette,Fenelow,Ninette Fenelow,xcanbyl@lin.com,Grass-roots uniform application,
44560,30089585.6,57.09,NEW,NEEDS ANALYSIS,RECYCLED,Trula,Plaxton,Trula Plaxton,sclotworthym@lin.com,Reduced local array,
19791,13364070.66,76.74,EXISTING,CLOSED WON,IN PROCESS,Blayne,Durrant,Blayne Durrant,bbassn@lin.com,Intuitive multi-state hierarchy,
33787,22815009.62,75.74,EXISTING,PERCEPTION ANALYSIS,ASSIGNED,Debee,Chansonne,Debee Chansonne,sdowtyo@lin.com,Focused high-level groupware,
29123,19665596.98,39.28,NEW,NEEDS ANALYSIS,NEW,Jennine,Cejka,Jennine Cejka,oderham0@lin.com,Innovative exuding hardware,
19794,13366096.44,54.23,NEW,NEEDS ANALYSIS,RECYCLED,Cornelle,De Hailes,Cornelle De Hailes,kvickress1@lin.com,Ergonomic executive approach,
15226,10281508.76,35.28,NEW,NEGOTIATION OR REVIEW,RECYCLED,Levi,Besson,Levi Besson,jhrishchenko2@lin.com,Optimized human-resource process improvement,
48606,32821687.56,64,NEW,VALUE PROPOSITION,CONVERTED,Ken,Dolden,Ken Dolden,tbeacock3@lin.com,Up-sized composite forecast,
26260,17732327.6,95.32,EXISTING,CLOSED LOST,CONVERTED,Matty,Barham,Matty Barham,sstockell4@lin.com,Quality-focused multi-state portal,
40256,27183266.56,90.93,EXISTING,PROPOSAL OR PRICE QUOTE,RECYCLED,Barron,Thoresby,Barron Thoresby,jhackly5@lin.com,Extended bifurcated migration,
49466,33402411.16,80.5,NEW,IDENTIFYING DECISION MAKERS,NEW,Angelica,Pinwill,Angelica Pinwill,lnorgan6@lin.com,Expanded systemic adapter,
27951,18874192.26,33.05,NEW,VALUE PROPOSITION,RECYCLED,Christiana,Simoens,Christiana Simoens,lcholwell7@lin.com,Persevering empowering task-force,
43356,29276572.56,68.52,NEW,NEEDS ANALYSIS,DEAD,Marv,Garret,Marv Garret,broyan8@lin.com,Configurable transitional encryption,
25693,17349455.18,31.16,NEW,VALUE PROPOSITION,ASSIGNED,Gwen,Lamb,Gwen Lamb,lknaggs9@lin.com,Switchable full-range approach,
39671,26788239.46,53.14,EXISTING,PROPOSAL OR PRICE QUOTE,RECYCLED,Norry,Spaight,Norry Spaight,abownasa@lin.com,Multi-lateral directional array,
42786,28891674.36,63.26,EXISTING,NEEDS ANALYSIS,IN PROCESS,Tonia,Machen,Tonia Machen,cboseleyb@lin.com,Cross-group zero tolerance architecture,
33660,22729251.6,95.98,EXISTING,NEGOTIATION OR REVIEW,ASSIGNED,Maryl,Davoren,Maryl Davoren,lrainforthc@lin.com,Distributed heuristic matrices,
17276,11665791.76,68.4,EXISTING,NEGOTIATION OR REVIEW,DEAD,Isadora,Tugwell,Isadora Tugwell,mommundsend@lin.com,Cross-group optimizing paradigm,
45282,30577123.32,69.25,EXISTING,VALUE PROPOSITION,DEAD,Oberon,Ottee,Oberon Ottee,lganforthe@lin.com,Upgradable clear-thinking approach,
34613,23372774.38,58.33,NEW,CLOSED LOST,RECYCLED,Livy,Whinray,Livy Whinray,kmedleyf@lin.com,Devolved multi-state knowledge user,
32651,22047914.26,42.84,NEW,PERCEPTION ANALYSIS,NEW,Garold,Goney,Garold Goney,equickendeng@lin.com,Multi-channelled static array,
29118,19662220.68,47.8,EXISTING,PROPOSAL OR PRICE QUOTE,ASSIGNED,Hatti,Titterrell,Hatti Titterrell,hhubbleh@lin.com,Universal coherent workforce,
42215,28506100.9,57.53,NEW,CLOSED LOST,NEW,Way,Rivett,Way Rivett,iairdriei@lin.com,Up-sized systematic definition,
22519,15206179.94,37.06,NEW,CLOSED WON,NEW,Wendie,Laming,Wendie Laming,dghionj@lin.com,Mandatory non-volatile encryption,
41817,28237347.42,35.39,EXISTING,PERCEPTION ANALYSIS,CONVERTED,Marabel,Sumner,Marabel Sumner,iepslyk@lin.com,Configurable dynamic customer loyalty,
15991,10798082.66,61.9,NEW,PROPOSAL OR PRICE QUOTE,ASSIGNED,Grove,Hartas,Grove Hartas,xcanbyl@lin.com,Digitized solution-oriented solution,
13513,9124788,97.58,EXISTING,NEEDS ANALYSIS,NEW,Garrott,Gorler,Garrott Gorler,sclotworthym@lin.com,Right-sized modular software,
36428,24598371.28,78.28,NEW,CLOSED LOST,RECYCLED,Eimile,De Leek,Eimile De Leek,bbassn@lin.com,Optional 24 hour service-desk,
12116,8181450,51.78,EXISTING,NEEDS ANALYSIS,RECYCLED,Aldous,Pybus,Aldous Pybus,sdowtyo@lin.com,Inverse user-facing help-desk,
41160,27793701.6,92.79,EXISTING,CLOSED LOST,IN PROCESS,Christoph,Rizzi,Christoph Rizzi,oderham0@lin.com,Networked 3rd generation orchestration,
18525,12509191.5,55.46,NEW,IDENTIFYING DECISION MAKERS,ASSIGNED,Ardenia,Labram,Ardenia Labram,kvickress1@lin.com,Organic human-resource throughput,
21185,14305383.1,59.56,NEW,PERCEPTION ANALYSIS,IN PROCESS,Daveen,Ivie,Daveen Ivie,jhrishchenko2@lin.com,Phased uniform moratorium,
12762,8617668,55.13,EXISTING,IDENTIFYING DECISION MAKERS,ASSIGNED,Allister,Briand,Allister Briand,tbeacock3@lin.com,Open-architected leading edge benchmark,
37530,25342507.8,41.66,NEW,CLOSED WON,CONVERTED,Meryl,Garvagh,Meryl Garvagh,sstockell4@lin.com,Down-sized context-sensitive algorithm,
14145,9551552,98.33,NEW,CLOSED WON,IN PROCESS,Jody,Grestye,Jody Grestye,jhackly5@lin.com,Automated full-range policy,
45183,30510272.58,58.63,NEW,NEEDS ANALYSIS,RECYCLED,Ive,Linsay,Ive Linsay,lnorgan6@lin.com,Robust intermediate success,
39230,26490449.8,46.25,NEW,PERCEPTION ANALYSIS,NEW,Arthur,Lejeune,Arthur Lejeune,lcholwell7@lin.com,Synergized grid-enabled focus group,
33412,22561787.12,49.7,NEW,CLOSED WON,NEW,Brig,Hughson,Brig Hughson,broyan8@lin.com,Optional methodical open system,
25455,17188743.3,96.79,NEW,PERCEPTION ANALYSIS,DEAD,Harriott,Mcimmie,Harriott Mcimmie,lknaggs9@lin.com,Organic context-sensitive superstructure,
24621,16625576.46,74.56,NEW,NEGOTIATION OR REVIEW,ASSIGNED,Kylynn,Ewart,Kylynn Ewart,abownasa@lin.com,Vision-oriented dynamic moratorium,
37516,25333054.16,77.96,EXISTING,IDENTIFYING DECISION MAKERS,DEAD,Iggy,Mosson,Iggy Mosson,cboseleyb@lin.com,Operative system-worthy toolset,
28451,19211822.26,68.29,EXISTING,NEGOTIATION OR REVIEW,ASSIGNED,Perice,Heisham,Perice Heisham,lrainforthc@lin.com,Polarised upward-trending info-mediaries,
42344,28593209.44,89.14,EXISTING,PROPOSAL OR PRICE QUOTE,ASSIGNED,Holly-anne,Pybworth,Holly-anne Pybworth,mommundsend@lin.com,Switchable optimal capacity,
30716,20741286.16,31.02,EXISTING,NEEDS ANALYSIS,DEAD,Ami,Underhill,Ami Underhill,lganforthe@lin.com,Robust composite conglomeration,
26710,18036194.6,33.8,NEW,CLOSED LOST,IN PROCESS,Rogers,Brierley,Rogers Brierley,kmedleyf@lin.com,Triple-buffered attitude-oriented data-warehouse,
15816,10679912.16,81.25,NEW,CLOSED WON,RECYCLED,Sallee,Georghiou,Sallee Georghiou,equickendeng@lin.com,Managed directional synergy,
15818,10681262.68,90.04,EXISTING,CLOSED LOST,CONVERTED,Mickie,Davidi,Mickie Davidi,hhubbleh@lin.com,Cross-platform asynchronous groupware,
37262,25161538.12,48.64,EXISTING,CLOSED WON,NEW,Jarrid,Growden,Jarrid Growden,iairdriei@lin.com,Networked optimal contingency,
16448,11106676.48,57.24,EXISTING,NEEDS ANALYSIS,ASSIGNED,Esmeralda,Osbidston,Esmeralda Osbidston,dghionj@lin.com,Mandatory well-modulated implementation,
26054,17593224.04,67.02,NEW,PERCEPTION ANALYSIS,NEW,Cherrita,Fossitt,Cherrita Fossitt,iepslyk@lin.com,Assimilated reciprocal hub,
22172,14971864.72,78.05,EXISTING,IDENTIFYING DECISION MAKERS,DEAD,Faunie,Auletta,Faunie Auletta,xcanbyl@lin.com,Extended fresh-thinking paradigm,
42048,28393332.48,33.15,EXISTING,NEGOTIATION OR REVIEW,DEAD,Merrili,Kalkhoven,Merrili Kalkhoven,sclotworthym@lin.com,Ergonomic even-keeled approach,
11396,7695262.96,91.62,NEW,NEGOTIATION OR REVIEW,CONVERTED,Jinny,D'Agostino,Jinny D'Agostino,bbassn@lin.com,Customizable responsive portal,
37842,25553188.92,44.26,NEW,VALUE PROPOSITION,ASSIGNED,Phaedra,Langhor,Phaedra Langhor,sdowtyo@lin.com,User-centric bifurcated system engine,
40070,27057668.2,90.81,NEW,CLOSED WON,ASSIGNED,Rosabelle,Gyles,Rosabelle Gyles,oderham0@lin.com,Digitized transitional hardware,
11720,7914047.2,95.75,NEW,IDENTIFYING DECISION MAKERS,NEW,Christie,Bamblett,Christie Bamblett,kvickress1@lin.com,Compatible analyzing process improvement,
49239,33249127.14,31.68,NEW,CLOSED LOST,DEAD,Templeton,Seide,Templeton Seide,jhrishchenko2@lin.com,Front-line tertiary application,
16239,10965547.14,81.88,NEW,VALUE PROPOSITION,CONVERTED,Phil,Schusterl,Phil Schusterl,tbeacock3@lin.com,Streamlined discrete intranet,
39461,26646434.86,43.63,EXISTING,IDENTIFYING DECISION MAKERS,RECYCLED,Nada,Simison,Nada Simison,sstockell4@lin.com,Open-architected tangible approach,
38379,25915803.54,97.38,NEW,PROPOSAL OR PRICE QUOTE,ASSIGNED,Marti,Heliet,Marti Heliet,jhackly5@lin.com,Compatible reciprocal support,
13126,8863462,70.87,NEW,VALUE PROPOSITION,ASSIGNED,Mirabelle,Cartledge,Mirabelle Cartledge,lnorgan6@lin.com,Synergized scalable service-desk,
34362,23203284.12,98.58,EXISTING,NEGOTIATION OR REVIEW,CONVERTED,Kaia,Reily,Kaia Reily,lcholwell7@lin.com,Function-based incremental firmware,
17470,11796792.2,94.5,EXISTING,VALUE PROPOSITION,RECYCLED,Andree,Kingsworth,Andree Kingsworth,broyan8@lin.com,Proactive mission-critical algorithm,
24778,16731592.28,56.52,EXISTING,CLOSED WON,IN PROCESS,Niven,Brehault,Niven Brehault,lknaggs9@lin.com,De-engineered even-keeled structure,
18260,12330247.6,49.68,NEW,CLOSED WON,IN PROCESS,Fallon,Girsch,Fallon Girsch,abownasa@lin.com,Digitized 24 hour Graphic Interface,
45259,30561592.34,46.86,NEW,IDENTIFYING DECISION MAKERS,CONVERTED,Alanna,Lorek,Alanna Lorek,cboseleyb@lin.com,Secured global encoding,
17913,12095932.38,74.93,EXISTING,PROSPECTING,DEAD,Zelda,Lehrer,Zelda Lehrer,lrainforthc@lin.com,Pre-emptive background functionalities,
19988,13497096.88,70.45,EXISTING,PROPOSAL OR PRICE QUOTE,RECYCLED,Lura,Crosscombe,Lura Crosscombe,mommundsend@lin.com,Compatible holistic throughput,
41404,27958465.04,38.2,NEW,VALUE PROPOSITION,IN PROCESS,Alyce,Gingell,Alyce Gingell,lganforthe@lin.com,Monitored real-time capacity,
15166,10240993.16,83.6,EXISTING,IDENTIFYING DECISION MAKERS,IN PROCESS,Jozef,Savege,Jozef Savege,kmedleyf@lin.com,Ergonomic well-modulated alliance,
38276,25846251.76,94.03,NEW,PROSPECTING,CONVERTED,Hedvig,Boddymead,Hedvig Boddymead,equickendeng@lin.com,Sharable optimizing open architecture,
36668,24760433.68,31.99,EXISTING,NEGOTIATION OR REVIEW,NEW,Dianne,Ashwood,Dianne Ashwood,hhubbleh@lin.com,Object-based 6th generation contingency,
16168,10917603.68,95.16,EXISTING,NEEDS ANALYSIS,DEAD,Marlo,Shrimpling,Marlo Shrimpling,iairdriei@lin.com,Multi-layered asynchronous orchestration,
26564,17937606.64,62.74,NEW,CLOSED LOST,CONVERTED,Anatol,Wyld,Anatol Wyld,dghionj@lin.com,Visionary context-sensitive process improvement,
30183,20381372.58,36.94,EXISTING,NEGOTIATION OR REVIEW,DEAD,Sheff,Peterffy,Sheff Peterffy,iepslyk@lin.com,De-engineered didactic workforce,
45784,30916103.84,64.2,EXISTING,CLOSED WON,ASSIGNED,Karlene,Copeland,Karlene Copeland,xcanbyl@lin.com,Reverse-engineered motivating architecture,
32538,21971609.88,55.43,EXISTING,PROSPECTING,RECYCLED,Janela,Manjin,Janela Manjin,sclotworthym@lin.com,Multi-tiered 6th generation encryption,
49126,33172822.76,82.92,NEW,PROSPECTING,IN PROCESS,Rania,Musker,Rania Musker,bbassn@lin.com,Object-based encompassing hardware,
15064,10172116.64,53.71,EXISTING,IDENTIFYING DECISION MAKERS,CONVERTED,Gabriell,Dyson,Gabriell Dyson,sdowtyo@lin.com,Object-based methodical portal,
41920,28306899.2,99.67,EXISTING,IDENTIFYING DECISION MAKERS,NEW,Claudie,Othick,Claudie Othick,oderham0@lin.com,Front-line upward-trending data-warehouse,
45791,30920830.66,52.6,EXISTING,PERCEPTION ANALYSIS,NEW,Sibel,Thornber,Sibel Thornber,kvickress1@lin.com,Adaptive zero tolerance archive,
23128,15617413.28,59.36,NEW,NEGOTIATION OR REVIEW,DEAD,Lisa,Surphliss,Lisa Surphliss,jhrishchenko2@lin.com,Virtual web-enabled access,
32612,22021579.12,81.85,NEW,NEGOTIATION OR REVIEW,CONVERTED,Aleta,Brayshaw,Aleta Brayshaw,tbeacock3@lin.com,Progressive 24/7 concept,
30271,20440795.46,92.99,EXISTING,NEEDS ANALYSIS,IN PROCESS,Gearalt,Monan,Gearalt Monan,sstockell4@lin.com,Versatile static firmware,
27546,18600711.96,44.82,EXISTING,PERCEPTION ANALYSIS,IN PROCESS,Aida,Sherwood,Aida Sherwood,jhackly5@lin.com,Extended scalable flexibility,
34023,22974370.98,62.84,EXISTING,CLOSED WON,RECYCLED,Whitman,Pellamonuten,Whitman Pellamonuten,lnorgan6@lin.com,Synchronised value-added function,
21503,14520115.78,84.87,NEW,VALUE PROPOSITION,CONVERTED,Marin,Tesseyman,Marin Tesseyman,lcholwell7@lin.com,Adaptive 6th generation frame,
48622,32832491.72,63.72,NEW,PERCEPTION ANALYSIS,DEAD,Billie,Payle,Billie Payle,broyan8@lin.com,Versatile tangible throughput,
46814,31611621.64,68.48,EXISTING,CLOSED LOST,ASSIGNED,Lenette,Norman,Lenette Norman,lknaggs9@lin.com,Digitized disintermediate alliance,
47405,32010700.3,36.91,NEW,PERCEPTION ANALYSIS,IN PROCESS,Evaleen,Greve,Evaleen Greve,abownasa@lin.com,Visionary 24 hour functionalities,
23248,15698444.48,97.67,NEW,CLOSED LOST,DEAD,Phoebe,Scoyles,Phoebe Scoyles,cboseleyb@lin.com,Adaptive zero administration functionalities,
47464,32050540.64,86.06,NEW,PROSPECTING,ASSIGNED,Justina,McRobbie,Justina McRobbie,lrainforthc@lin.com,Triple-buffered multimedia array,
44850,30285411,68.08,NEW,VALUE PROPOSITION,CONVERTED,Amabel,Dobkin,Amabel Dobkin,mommundsend@lin.com,Digitized web-enabled array,
46521,31413770.46,91.52,EXISTING,NEGOTIATION OR REVIEW,CONVERTED,Blinnie,Grigoroni,Blinnie Grigoroni,lganforthe@lin.com,Switchable regional archive,
41362,27930104.12,77.6,EXISTING,NEGOTIATION OR REVIEW,DEAD,Chilton,Moxom,Chilton Moxom,kmedleyf@lin.com,Vision-oriented zero tolerance adapter,
32623,22029006.98,91.14,EXISTING,PROSPECTING,ASSIGNED,Freeland,Dunlea,Freeland Dunlea,equickendeng@lin.com,Front-line clear-thinking matrix,
47193,31867545.18,98.83,NEW,PROPOSAL OR PRICE QUOTE,CONVERTED,Delphinia,Burthom,Delphinia Burthom,hhubbleh@lin.com,Innovative real-time productivity,
26113,17633064.38,34.89,EXISTING,PROPOSAL OR PRICE QUOTE,ASSIGNED,Farr,Paddon,Farr Paddon,iairdriei@lin.com,Public-key systematic architecture,
46107,31134212.82,77.2,NEW,VALUE PROPOSITION,CONVERTED,Nickolaus,Gooley,Nickolaus Gooley,dghionj@lin.com,Versatile eco-centric algorithm,
14949,10094461.74,95.13,EXISTING,CLOSED WON,CONVERTED,Alysia,Lande,Alysia Lande,iepslyk@lin.com,Re-contextualized mission-critical pricing structure,
23273,15715325.98,34.46,NEW,NEGOTIATION OR REVIEW,RECYCLED,Willie,Elsdon,Willie Elsdon,xcanbyl@lin.com,Grass-roots dedicated archive,
40224,27161658.24,60.95,NEW,PROSPECTING,RECYCLED,Ted,Tricker,Ted Tricker,sclotworthym@lin.com,Progressive global approach,
14019,9466469,57.42,EXISTING,VALUE PROPOSITION,ASSIGNED,Cathy,Schimmang,Cathy Schimmang,bbassn@lin.com,Distributed 5th generation extranet,
38647,26096773.22,42.49,NEW,CLOSED WON,CONVERTED,Kassandra,Bartol,Kassandra Bartol,sdowtyo@lin.com,Operative modular installation,
12343,8334734,88.73,EXISTING,VALUE PROPOSITION,CONVERTED,Selma,Lofts,Selma Lofts,oderham0@lin.com,Robust transitional toolset,
29057,19621029.82,95.04,EXISTING,NEGOTIATION OR REVIEW,NEW,Ephrem,Eloi,Ephrem Eloi,kvickress1@lin.com,Multi-tiered fresh-thinking focus group,
26860,18137483.6,75.81,EXISTING,NEGOTIATION OR REVIEW,RECYCLED,Diego,Kemsley,Diego Kemsley,jhrishchenko2@lin.com,Balanced executive software,
22683,15316922.58,64.65,NEW,PROSPECTING,NEW,Star,O'Dogherty,Star O'Dogherty,tbeacock3@lin.com,Stand-alone user-facing migration,
11964,8078810.64,70.67,NEW,PROSPECTING,RECYCLED,Consolata,Brozsset,Consolata Brozsset,sstockell4@lin.com,Enterprise-wide zero defect data-warehouse,
46633,31489399.58,71.21,EXISTING,PROSPECTING,RECYCLED,Celisse,Hopkins,Celisse Hopkins,jhackly5@lin.com,Mandatory reciprocal infrastructure,
28588,19304332.88,88,EXISTING,VALUE PROPOSITION,ASSIGNED,Rubi,Illiston,Rubi Illiston,lnorgan6@lin.com,Profit-focused 5th generation installation,
14161,9562356,84.47,EXISTING,PROPOSAL OR PRICE QUOTE,DEAD,Wanda,Entwistle,Wanda Entwistle,lcholwell7@lin.com,Profound neutral strategy,
35253,23804940.78,67.04,NEW,NEGOTIATION OR REVIEW,DEAD,Rick,Dradey,Rick Dradey,broyan8@lin.com,Face to face transitional structure,
44954,30355638.04,67.67,EXISTING,NEGOTIATION OR REVIEW,NEW,Vinny,Georger,Vinny Georger,lknaggs9@lin.com,Versatile scalable middleware,
25569,17265722.94,32.89,EXISTING,PROSPECTING,NEW,Minda,Thody,Minda Thody,abownasa@lin.com,Persistent upward-trending definition,
15931,10757567.06,60.72,EXISTING,NEEDS ANALYSIS,IN PROCESS,Chevy,Fass,Chevy Fass,cboseleyb@lin.com,Organic coherent Graphical User Interface,
37161,25093336.86,81.1,EXISTING,CLOSED WON,ASSIGNED,Dalila,Capin,Dalila Capin,lrainforthc@lin.com,Open-source regional strategy,
23322,15748413.72,68.42,EXISTING,NEEDS ANALYSIS,NEW,Richy,Lockyear,Richy Lockyear,mommundsend@lin.com,Inverse grid-enabled matrix,
29171,19698009.46,91.24,NEW,NEEDS ANALYSIS,IN PROCESS,Pennie,Doughartie,Pennie Doughartie,lganforthe@lin.com,Inverse neutral encoding,
13292,8975555,94.69,NEW,CLOSED LOST,RECYCLED,Abra,Beccera,Abra Beccera,kmedleyf@lin.com,De-engineered attitude-oriented initiative,
23335,15757192.1,69.39,NEW,IDENTIFYING DECISION MAKERS,RECYCLED,Boony,Huggill,Boony Huggill,equickendeng@lin.com,Enhanced attitude-oriented array,
25818,17433862.68,73.49,EXISTING,PROSPECTING,IN PROCESS,Nancey,Markwell,Nancey Markwell,hhubbleh@lin.com,Cloned asynchronous archive,
46587,31458337.62,99.15,EXISTING,PROSPECTING,NEW,Alana,Talmadge,Alana Talmadge,iairdriei@lin.com,Secured contextually-based flexibility,
31110,21007338.6,80.47,EXISTING,VALUE PROPOSITION,DEAD,Aubrie,Skelhorn,Aubrie Skelhorn,dghionj@lin.com,Face to face encompassing initiative,
21872,14769286.72,40.85,EXISTING,PROSPECTING,RECYCLED,Cornelle,De Hailes,Cornelle De Hailes,iepslyk@lin.com,Ergonomic solution-oriented Graphical User Interface,
33653,22724524.78,55.47,NEW,CLOSED WON,ASSIGNED,Salem,Quayle,Salem Quayle,xcanbyl@lin.com,Digitized mobile core,
33240,22445642.4,39.97,EXISTING,IDENTIFYING DECISION MAKERS,NEW,Fielding,Dunphy,Fielding Dunphy,sclotworthym@lin.com,Intuitive homogeneous strategy,
11634,7855974,42.11,EXISTING,NEEDS ANALYSIS,CONVERTED,Ken,Dolden,Ken Dolden,bbassn@lin.com,Diverse motivating database,
25443,17180640.18,53.36,NEW,PERCEPTION ANALYSIS,CONVERTED,Chad,Retallack,Chad Retallack,sdowtyo@lin.com,Virtual encompassing firmware,
47605,32145752.3,71.69,NEW,CLOSED LOST,RECYCLED,Christiana,Simoens,Christiana Simoens,oderham0@lin.com,User-centric 24/7 framework,
23272,15714650.72,52.77,NEW,PERCEPTION ANALYSIS,IN PROCESS,Gaby,Lewknor,Gaby Lewknor,kvickress1@lin.com,Stand-alone encompassing infrastructure,
16465,11118155.9,52.93,NEW,VALUE PROPOSITION,CONVERTED,Arabella,Haversum,Arabella Haversum,jhrishchenko2@lin.com,Digitized non-volatile contingency,
16734,11299800.84,89.04,EXISTING,CLOSED LOST,RECYCLED,Jaime,Mixer,Jaime Mixer,tbeacock3@lin.com,Persevering uniform archive,
21086,14238532.36,93.66,EXISTING,NEGOTIATION OR REVIEW,NEW,Sianna,Thaim,Sianna Thaim,sstockell4@lin.com,Fundamental disintermediate moratorium,
36420,24592969.2,54.91,NEW,PROPOSAL OR PRICE QUOTE,ASSIGNED,Gwen,Lamb,Gwen Lamb,jhackly5@lin.com,Open-architected zero defect protocol,
13022,8793235,31.28,EXISTING,NEEDS ANALYSIS,RECYCLED,Damian,Hazelden,Damian Hazelden,lnorgan6@lin.com,Object-based uniform focus group,
26660,18002431.6,36.05,EXISTING,IDENTIFYING DECISION MAKERS,ASSIGNED,Nikkie,Ladell,Nikkie Ladell,lcholwell7@lin.com,Multi-tiered multi-state capacity,
17018,11491574.68,62.92,NEW,CLOSED LOST,CONVERTED,Lawry,Beddis,Lawry Beddis,broyan8@lin.com,Robust regional benchmark,
23933,16160997.58,61.55,NEW,PROPOSAL OR PRICE QUOTE,ASSIGNED,Maryl,Davoren,Maryl Davoren,lknaggs9@lin.com,Self-enabling bottom-line circuit,
12376,8357017,34.85,EXISTING,CLOSED WON,CONVERTED,Dorri,Brine,Dorri Brine,abownasa@lin.com,De-engineered logistical access,
12921,8725034,60.5,EXISTING,IDENTIFYING DECISION MAKERS,NEW,Dalston,Harnell,Dalston Harnell,cboseleyb@lin.com,Polarised tangible neural-net,
33358,22525323.08,67.4,NEW,VALUE PROPOSITION,RECYCLED,Ashbey,De Malchar,Ashbey De Malchar,lrainforthc@lin.com,Re-engineered real-time interface,
28077,18959275.02,94.15,NEW,CLOSED LOST,CONVERTED,Giacomo,Comelli,Giacomo Comelli,mommundsend@lin.com,Organic neutral software,
48036,32436789.36,74.8,EXISTING,IDENTIFYING DECISION MAKERS,CONVERTED,Kathy,Morrish,Kathy Morrish,lganforthe@lin.com,User-centric real-time toolset,
44321,29928198.46,53.94,EXISTING,CLOSED WON,RECYCLED,Lloyd,Yesinov,Lloyd Yesinov,kmedleyf@lin.com,Devolved intangible artificial intelligence,
27883,18828274.58,35.19,NEW,PROSPECTING,ASSIGNED,Hatti,Titterrell,Hatti Titterrell,equickendeng@lin.com,User-friendly mission-critical analyzer,
11384,7687159,80.81,EXISTING,VALUE PROPOSITION,CONVERTED,Marabel,Sumner,Marabel Sumner,hhubbleh@lin.com,Secured 5th generation interface,
39089,26395238.14,91.85,EXISTING,VALUE PROPOSITION,IN PROCESS,Mathe,Eustes,Mathe Eustes,iairdriei@lin.com,Upgradable bifurcated focus group,
43513,29382588.38,72.19,NEW,PROPOSAL OR PRICE QUOTE,IN PROCESS,Melonie,Vedyashkin,Melonie Vedyashkin,dghionj@lin.com,Synergistic static parallelism,
