units,amount,probability,type,stage,source,account,assignedTo
47577,3.212684502E7,48.91,EXISTING_BUSINESS,CLOSED_WON,OTHER,NORTHROP GRUMMAN CORPORATION,Hanny Hubble
28554,1.928137404E7,78.21,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,SELF_GENERATED,CATERPILLAR INC.,Marwin Ommundsen
36019,2.432218994E7,56.7,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,EMAIL,JLL,Daniel Ghion
16018,1.081631468E7,96.24,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,CAMPAIGN,WELLS FARGO,Jacquenetta Hackly
24144,1.630347744E7,98.46,EXISTING_BUSINESS,PROSPECTING,COLD_CALL,CITI,Irwinn Airdrie
39301,2.653839326E7,91.75,NEW_BUSINESS,VALUE_PROPOSITION,PARTNER,DELTA AIR LINES,Lloyd Rainforth
18468,1.247070168E7,61.81,EXISTING_BUSINESS,CLOSED_WON,WEB_SITE,NYC DEPARTMENT OF EDUCATION,Lloyd Rainforth
25842,1.745006892E7,36.32,NEW_BUSINESS,VALUE_PROPOSITION,DIRECT_MAIL,THERMO FISHER SCIENTIFIC,Hanny Hubble
27561,1.861084086E7,79.61,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,DIRECT_MAIL,CSC,Somerset Dowty
34529,2.331605254E7,46.77,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,OTHER,KAISER PERMANENTE,Shaina Clotworthy
15020,1.01424052E7,66.08,NEW_BUSINESS,CLOSED_WON,PUBLIC_RELATIONS,THE WALT DISNEY COMPANY,Daniel Ghion
14310,9662970.0,69.69,EXISTING_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,CAMPAIGN,MERRILL LYNCH,Jephthah Hrishchenko
49239,3.324912714E7,31.68,NEW_BUSINESS,CLOSED_LOST,EMAIL,KPMG,Jephthah Hrishchenko
24601,1.661207126E7,93.34,NEW_BUSINESS,VALUE_PROPOSITION,PARTNER,JOHNSON & JOHNSON,Lloyd Rainforth
32344,2.184060944E7,57.0,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,DIRECT_MAIL,GOOGLE,Theo Beacock
21238,1.434117188E7,59.85,NEW_BUSINESS,CLOSED_WON,EMPLOYEE,MERCK,Kellsie Vickress
35935,2.42654681E7,86.98,NEW_BUSINESS,NEGOTIATION_OR_REVIEW,CAMPAIGN,MERRILL LYNCH,Lenee Norgan
17461,1.179071486E7,56.24,NEW_BUSINESS,NEEDS_ANALYSIS,PUBLIC_RELATIONS,JPMORGAN CHASE & CO.,Isabelle Epsly
10235,6911286.0,83.32,NEW_BUSINESS,NEGOTIATION_OR_REVIEW,OTHER,US ARMY,Xever Canby
25434,1.717456284E7,55.02,EXISTING_BUSINESS,PROSPECTING,DIRECT_MAIL,XEROX,Xever Canby
38117,2.573888542E7,46.54,NEW_BUSINESS,IDENTIFYING_DECISION_MAKERS,PUBLIC_RELATIONS,AMERICAN EXPRESS,Brena Bass
37971,2.564029746E7,95.23,NEW_BUSINESS,CLOSED_WON,WORD_OF_MOUTH,KROGER,Susan Stockell
39125,2.64195475E7,89.63,EXISTING_BUSINESS,PROSPECTING,WEB_SITE,SOCIAL SECURITY ADMINISTRATION,Xever Canby
15756,1.063939656E7,61.21,NEW_BUSINESS,NEGOTIATION_OR_REVIEW,DIRECT_MAIL,PEPSICO,Constantine Boseley
12433,8395507.0,78.12,NEW_BUSINESS,CLOSED_LOST,OTHER,TARGET,Isabelle Epsly
26742,1.805780292E7,40.79,NEW_BUSINESS,VALUE_PROPOSITION,TRADE_SHOW,BANK OF AMERICA,Jacquenetta Hackly
40572,2.739664872E7,81.19,EXISTING_BUSINESS,CLOSED_LOST,EXISTING_CUSTOMER,BAKER HUGHES,Brena Bass
44299,2.991334274E7,58.9,NEW_BUSINESS,VALUE_PROPOSITION,CAMPAIGN,CARGILL,Constantine Boseley
17002,1.148077052E7,43.32,NEW_BUSINESS,PERCEPTION_ANALYSIS,COLD_CALL,JPMORGAN CHASE & CO.,Somerset Dowty
33412,2.256178712E7,49.7,NEW_BUSINESS,CLOSED_WON,WEB_SITE,KAISER PERMANENTE,Brandea Royan
20609,1.391643334E7,39.15,EXISTING_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,CONFERENCE,"LOWE'S COMPANIES, INC.",Irwinn Airdrie
23147,1.563024322E7,75.88,NEW_BUSINESS,NEGOTIATION_OR_REVIEW,COLD_CALL,EDWARD JONES,Susan Stockell
19016,1.284074416E7,83.5,EXISTING_BUSINESS,NEEDS_ANALYSIS,PARTNER,TRAVELERS,Jacquenetta Hackly
40486,2.733857636E7,52.47,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,SELF_GENERATED,HILTON WORLDWIDE,Isabelle Epsly
24053,1.624202878E7,51.44,NEW_BUSINESS,PROSPECTING,DIRECT_MAIL,THERMO FISHER SCIENTIFIC,Brandea Royan
26376,1.781065776E7,52.55,EXISTING_BUSINESS,PROSPECTING,SELF_GENERATED,FEDEX,Leona Knaggs
18102,1.222355652E7,93.21,NEW_BUSINESS,VALUE_PROPOSITION,EMPLOYEE,HILTON WORLDWIDE,Shaina Clotworthy
23265,1.57099239E7,35.9,NEW_BUSINESS,PERCEPTION_ANALYSIS,EMPLOYEE,GENERAL MOTORS,Constantine Boseley
15234,1.028691084E7,33.37,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,COLD_CALL,DEPARTMENT OF VETERANS AFFAIRS,Arly Bownas
14702,9927672.0,69.79,NEW_BUSINESS,PERCEPTION_ANALYSIS,PARTNER,AMAZON,Shaina Clotworthy
12693,8571075.0,31.77,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,TRADE_SHOW,THOMSON REUTERS,Constantine Boseley
39750,2.6841585E7,66.7,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,WEB_SITE,UNITED STATES POSTAL SERVICE,Daniel Ghion
42269,2.854256494E7,46.12,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,CAMPAIGN,BANK OF AMERICA,Somerset Dowty
27395,1.84987477E7,87.98,NEW_BUSINESS,PERCEPTION_ANALYSIS,COLD_CALL,EDWARD JONES,Lloyd Rainforth
25931,1.751016706E7,55.68,EXISTING_BUSINESS,CLOSED_LOST,TRADE_SHOW,MARY KAY INC.,Irwinn Airdrie
41853,2.826165678E7,93.51,EXISTING_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,PUBLIC_RELATIONS,MARY KAY INC.,Link Ganforth
13977,9438109.0,38.16,NEW_BUSINESS,IDENTIFYING_DECISION_MAKERS,PARTNER,KPMG,Daniel Ghion
37416,2.526552816E7,51.44,NEW_BUSINESS,NEGOTIATION_OR_REVIEW,TRADE_SHOW,THOMSON REUTERS,Brandea Royan
37538,2.534790988E7,71.59,NEW_BUSINESS,CLOSED_WON,EMPLOYEE,GOOGLE,Ella Quickenden
20994,1.417640844E7,77.55,EXISTING_BUSINESS,NEEDS_ANALYSIS,PARTNER,MEDTRONIC,Isabelle Epsly
27268,1.841298968E7,73.76,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,TRADE_SHOW,JOHNSON & JOHNSON,Xever Canby
21503,1.452011578E7,84.87,NEW_BUSINESS,VALUE_PROPOSITION,COLD_CALL,JPMORGAN CHASE & CO.,Luce Cholwell
22266,1.503533916E7,90.55,NEW_BUSINESS,NEGOTIATION_OR_REVIEW,TRADE_SHOW,CISCO,Leona Knaggs
13794,9314536.0,56.38,NEW_BUSINESS,CLOSED_WON,WEB_SITE,NYC DEPARTMENT OF EDUCATION,Constantine Boseley
17404,1.175222504E7,65.69,NEW_BUSINESS,NEEDS_ANALYSIS,EXISTING_CUSTOMER,AIRBUS,Somerset Dowty
22743,1.535743818E7,39.39,NEW_BUSINESS,NEGOTIATION_OR_REVIEW,OTHER,VERIZON,Isabelle Epsly
25276,1.706787176E7,95.39,NEW_BUSINESS,NEGOTIATION_OR_REVIEW,OTHER,UNITEDHEALTH GROUP,Hanny Hubble
26660,1.80024316E7,53.25,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,OTHER,CSC,Jephthah Hrishchenko
46721,3.154882246E7,33.9,NEW_BUSINESS,IDENTIFYING_DECISION_MAKERS,PARTNER,JPMORGAN CHASE & CO.,Lenee Norgan
32987,2.227480162E7,91.11,EXISTING_BUSINESS,PROSPECTING,WORD_OF_MOUTH,SOCIAL SECURITY ADMINISTRATION,Link Ganforth
28142,1.900316692E7,62.22,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,COLD_CALL,PNC,Constantine Boseley
43145,2.91340927E7,82.76,NEW_BUSINESS,NEEDS_ANALYSIS,DIRECT_MAIL,NIKE,Somerset Dowty
28755,1.94171013E7,61.97,NEW_BUSINESS,CLOSED_LOST,PUBLIC_RELATIONS,MCDONALD'S CORPORATION,Luce Cholwell
32866,2.219309516E7,62.19,NEW_BUSINESS,IDENTIFYING_DECISION_MAKERS,COLD_CALL,CARGILL,Jacquenetta Hackly
34505,2.32998463E7,37.55,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,CAMPAIGN,SCHNEIDER ELECTRIC,Arly Bownas
43047,2.906791722E7,64.43,NEW_BUSINESS,NEEDS_ANALYSIS,WORD_OF_MOUTH,AT&T,Arly Bownas
14802,9995198.0,98.06,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,DIRECT_MAIL,UNITED STATES MARINE CORPS,Somerset Dowty
24572,1.659248872E7,88.67,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,WEB_SITE,ORACLE,Susan Stockell
17603,1.188660178E7,88.2,NEW_BUSINESS,VALUE_PROPOSITION,CONFERENCE,MACY'S,Kellsie Vickress
13311,8988385.0,71.84,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,WEB_SITE,MACY'S,Daniel Ghion
10502,7091580.0,98.37,EXISTING_BUSINESS,CLOSED_LOST,CAMPAIGN,JOHNSON & JOHNSON,Irwinn Airdrie
20721,1.399206246E7,69.85,EXISTING_BUSINESS,CLOSED_LOST,EXISTING_CUSTOMER,UNITED STATES MARINE CORPS,Theo Beacock
25331,1.710501106E7,68.62,EXISTING_BUSINESS,PROSPECTING,COLD_CALL,MERRILL LYNCH,Shaina Clotworthy
27548,1.860206248E7,53.91,EXISTING_BUSINESS,VALUE_PROPOSITION,PARTNER,GOLDMAN SACHS,Orelle Derham
39618,2.675245068E7,75.47,EXISTING_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,EXISTING_CUSTOMER,"KELLER WILLIAMS REALTY, INC.",Leona Knaggs
14329,9675800.0,66.7,EXISTING_BUSINESS,PROSPECTING,OTHER,THE HOME DEPOT,Lloyd Rainforth
23907,1.614344082E7,89.3,EXISTING_BUSINESS,CLOSED_LOST,EMAIL,JOHNSON CONTROLS,Shaina Clotworthy
40070,2.70576682E7,90.81,NEW_BUSINESS,CLOSED_WON,OTHER,CSC,Orelle Derham
23223,1.568156298E7,64.58,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,EMPLOYEE,RAYTHEON,Xever Canby
20710,1.39846346E7,99.5,EXISTING_BUSINESS,CLOSED_WON,PUBLIC_RELATIONS,GENPACT,Irwinn Airdrie
31770,2.14530102E7,39.45,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,WEB_SITE,DXC TECHNOLOGY,Lenee Norgan
16671,1.125725946E7,87.8,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,TRADE_SHOW,THERMO FISHER SCIENTIFIC,Marwin Ommundsen
25538,1.724478988E7,52.03,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,COLD_CALL,CITI,Lloyd Rainforth
33675,2.27393805E7,84.04,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,CONFERENCE,KROGER,Leona Knaggs
37797,2.552280222E7,55.46,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,EXISTING_CUSTOMER,KPMG,Link Ganforth
31119,2.101341594E7,81.37,NEW_BUSINESS,PERCEPTION_ANALYSIS,CAMPAIGN,WALMART,Theo Beacock
22329,1.507788054E7,59.67,NEW_BUSINESS,NEEDS_ANALYSIS,PUBLIC_RELATIONS,CISCO,Arly Bownas
40751,2.751752026E7,68.28,EXISTING_BUSINESS,NEEDS_ANALYSIS,WORD_OF_MOUTH,ADP,Kellsie Vickress
32087,2.166706762E7,50.64,EXISTING_BUSINESS,CLOSED_LOST,CONFERENCE,DELL EMC,Irwinn Airdrie
28588,1.930433288E7,88.0,EXISTING_BUSINESS,VALUE_PROPOSITION,EMPLOYEE,UNITED STATES POSTAL SERVICE,Lenee Norgan
26650,1.7995679E7,67.63,NEW_BUSINESS,CLOSED_LOST,WORD_OF_MOUTH,SOCIAL SECURITY ADMINISTRATION,Orelle Derham
47525,3.20917315E7,99.27,NEW_BUSINESS,CLOSED_WON,EMPLOYEE,FARMERS INSURANCE,Leona Knaggs
44578,3.010174028E7,85.26,NEW_BUSINESS,NEGOTIATION_OR_REVIEW,WORD_OF_MOUTH,CITI,Theo Beacock
46935,3.16933281E7,84.27,NEW_BUSINESS,CLOSED_WON,PARTNER,AMAZON,Ella Quickenden
19965,1.34815659E7,62.96,EXISTING_BUSINESS,CLOSED_WON,PARTNER,CONVERGYS,Daniel Ghion
25494,1.721507844E7,33.99,NEW_BUSINESS,NEEDS_ANALYSIS,CONFERENCE,CATERPILLAR INC.,Jephthah Hrishchenko
18741,1.265504766E7,98.56,NEW_BUSINESS,NEEDS_ANALYSIS,PARTNER,JPMORGAN CHASE & CO.,Shaina Clotworthy
39461,2.664643486E7,43.63,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,PARTNER,ALLSTATE,Susan Stockell
49548,3.345778248E7,88.56,EXISTING_BUSINESS,CLOSED_WON,WEB_SITE,MERCK,Shaina Clotworthy
10533,7112513.0,64.33,EXISTING_BUSINESS,VALUE_PROPOSITION,PARTNER,GENPACT,Somerset Dowty
47519,3.208767994E7,88.11,NEW_BUSINESS,NEGOTIATION_OR_REVIEW,COLD_CALL,SCHLUMBERGER,Orelle Derham
33999,2.295816474E7,62.55,EXISTING_BUSINESS,VALUE_PROPOSITION,EMPLOYEE,PEPSICO,Susan Stockell
48694,3.288111044E7,34.78,NEW_BUSINESS,NEEDS_ANALYSIS,SELF_GENERATED,MICROSOFT,Brena Bass
26954,1.820095804E7,73.59,NEW_BUSINESS,NEEDS_ANALYSIS,CAMPAIGN,UNITED STATES AIR FORCE,Kellsie Vickress
44560,3.00895856E7,57.09,NEW_BUSINESS,NEEDS_ANALYSIS,CAMPAIGN,VERIZON WIRELESS,Shaina Clotworthy
14523,9806800.0,66.83,EXISTING_BUSINESS,VALUE_PROPOSITION,CONFERENCE,LINKEDIN,Daniel Ghion
12027,8121352.0,40.07,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,WEB_SITE,STATE FARM,Marwin Ommundsen
15271,1.031189546E7,99.17,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,EMAIL,IBM,Jacquenetta Hackly
45787,3.091812962E7,66.97,NEW_BUSINESS,IDENTIFYING_DECISION_MAKERS,OTHER,LOCKHEED MARTIN,Jephthah Hrishchenko
43550,2.9407573E7,30.19,EXISTING_BUSINESS,CLOSED_WON,EMPLOYEE,US NAVY,Brena Bass
47304,3.194249904E7,83.33,NEW_BUSINESS,CLOSED_LOST,CONFERENCE,METLIFE,Lloyd Rainforth
39943,2.697191018E7,36.4,EXISTING_BUSINESS,NEEDS_ANALYSIS,COLD_CALL,PNC,Orelle Derham
32306,2.181494956E7,69.3,EXISTING_BUSINESS,PROSPECTING,PARTNER,TARGET,Arly Bownas
21152,1.428309952E7,38.63,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,WEB_SITE,EATON,Orelle Derham
48489,3.274268214E7,97.99,NEW_BUSINESS,NEEDS_ANALYSIS,COLD_CALL,DEPARTMENT OF VETERANS AFFAIRS,Daniel Ghion
16461,1.111545486E7,47.66,NEW_BUSINESS,PROSPECTING,PUBLIC_RELATIONS,CHEVRON,Isabelle Epsly
45791,3.092083066E7,52.6,EXISTING_BUSINESS,PERCEPTION_ANALYSIS,PARTNER,LOS ANGELES UNIFIED SCHOOL DISTRICT,Kellsie Vickress
28642,1.934079692E7,44.34,NEW_BUSINESS,NEEDS_ANALYSIS,COLD_CALL,HP,Hanny Hubble
14750,9960085.0,87.34,NEW_BUSINESS,CLOSED_LOST,EXISTING_CUSTOMER,CATERPILLAR INC.,Lloyd Rainforth
37027,2.500285202E7,88.6,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,WORD_OF_MOUTH,GE,Constantine Boseley
46166,3.117405316E7,41.42,EXISTING_BUSINESS,VALUE_PROPOSITION,SELF_GENERATED,MICROSOFT,Shaina Clotworthy
33379,2.253950354E7,33.9,NEW_BUSINESS,CLOSED_LOST,TRADE_SHOW,COGNIZANT TECHNOLOGY SOLUTIONS,Jacquenetta Hackly
44481,3.003624006E7,43.78,EXISTING_BUSINESS,VALUE_PROPOSITION,OTHER,KAISER PERMANENTE,Brandea Royan
34379,2.321476354E7,69.55,NEW_BUSINESS,CLOSED_WON,CONFERENCE,GOOGLE,Irwinn Airdrie
44582,3.010444132E7,75.23,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,EMPLOYEE,PROCTER & GAMBLE,Ella Quickenden
40235,2.71690861E7,50.59,EXISTING_BUSINESS,NEGOTIATION_OR_REVIEW,PUBLIC_RELATIONS,THE WALT DISNEY COMPANY,Kellsie Vickress
31901,2.154146926E7,46.9,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,PUBLIC_RELATIONS,MARRIOTT INTERNATIONAL,Kassandra Medley
40256,2.718326656E7,90.93,EXISTING_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,EXISTING_CUSTOMER,ALLSTATE,Jacquenetta Hackly
19291,1.302644066E7,32.18,EXISTING_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,CAMPAIGN,SALESFORCE,Shaina Clotworthy
12992,8772977.0,79.16,EXISTING_BUSINESS,VALUE_PROPOSITION,WEB_SITE,SOCIAL SECURITY ADMINISTRATION,Link Ganforth
33904,2.289401504E7,47.41,NEW_BUSINESS,NEEDS_ANALYSIS,OTHER,UNITED STATES AIR FORCE,Ella Quickenden
37604,2.539247704E7,35.33,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,TRADE_SHOW,UNITED STATES AIR FORCE,Luce Cholwell
11111,7502813.86,60.07,EXISTING_BUSINESS,IDENTIFYING_DECISION_MAKERS,PUBLIC_RELATIONS,US NAVY,Isabelle Epsly
23236,1.569034136E7,30.22,EXISTING_BUSINESS,CLOSED_LOST,WORD_OF_MOUTH,GENERAL MOTORS,Theo Beacock
49629,3.351247854E7,32.89,EXISTING_BUSINESS,VALUE_PROPOSITION,SELF_GENERATED,ALLSTATE,Marwin Ommundsen
27740,1.87317124E7,56.59,EXISTING_BUSINESS,CLOSED_WON,EMPLOYEE,FORD MOTOR COMPANY,Luce Cholwell
40888,2.761003088E7,65.4,EXISTING_BUSINESS,PROSPECTING,COLD_CALL,INTEL CORPORATION,Marwin Ommundsen
37180,2.51061668E7,65.63,NEW_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,TRADE_SHOW,KPMG,Brena Bass
39042,2.636350092E7,89.59,NEW_BUSINESS,IDENTIFYING_DECISION_MAKERS,COLD_CALL,HALLIBURTON,Theo Beacock
11876,8019387.0,46.57,EXISTING_BUSINESS,PROPOSAL_OR_PRICE_QUOTE,PARTNER,UNITED STATES MARINE CORPS,Daniel Ghion
13022,8793235.0,31.28,EXISTING_BUSINESS,NEEDS_ANALYSIS,EXISTING_CUSTOMER,PNC,Lenee Norgan
